project_id,name,count
24,autotracks-web-master,26
25,AIP-master,64
26,annotations-master,25
27,AlquilerAutos-master,11
28,BankAccount_19_06_2013-master,9
29,bc-master,9
30,blacklist-master,41
31,bndtools.runtime.junit-master,10
32,CorrectiveEvolution-master,120
33,cr_testsuites-master,157
34,CS1699-Deliverable3-master,18
35,cs56-games-poker-master,14
36,cs56-utilities-cryptography-master,17
37,DesignAndTestAssignment-master,29
38,ehcache-json-provider-master,11
39,exp-master,29
40,ga-master,9
41,finite_automata-master,15
42,hotciv-master,80
43,irc4j-master,92
44,iWeight-master,33
45,JavaBasico-master,101
46,JavaTraining-master,77
47,jdbm-master,121
48,KiisuV2lk-master,107
49,lab5-master,16
50,lattice-sequence-master,81
51,Log121-Laboratoire3-master,27
52,Maya-master,10
53,MMT_Connector-master,21
54,ModernWebDevelopment_Homework_7_full-master,24
55,mymom-master,730
56,nashorn-jdom-master,13
57,NeoDatis-master,1067
58,projet_msn-master,52
59,refactoringExercise-master,43
60,si1-master,21
61,simpledb-master,101
62,solr-spatial-light-master,36
63,SQM-master,11
64,strawberryhunter-master,34
65,SurvivingLegacyCode-Annecy-September2014-master,9
66,TddCalculatorJava-master,8
67,TP2-master,53
68,Training-master,56
69,TWU_biblioteca_tmorrisandjosh-master,14
70,universa-appbank-master,40
71,wt-mail-server-master,44
